fecha,hora,pm10_ugm3,humedad_relativa_pct,direccion_viento_grados,velocidad_viento_ms,precipitacion_mm,condicion_lluvia,estacion_anio,n_eventos,numero_taladros,tonelaje_tm,anfo_kg,emulsion_kg,explosivo_total_kg,p80,mes,tiempo_taladro_ms,tiempo_fila_ms,n_retardos_taladro,n_retardos_fila
2023-05-11,12,,62.0,9.0,1.2,0.0,Seco,Otoño,1,173,101357.0,3878,15947,19826,5.496,5,3.0,150.0,2,1
2023-05-12,12,9.0,75.0,311.0,2.5,0.0,Seco,Otoño,2,300,151955.0,7071,29074,36145,9.955,5,0.0,364.0,1,1
2023-05-13,14,34.8,53.0,290.0,1.1,0.0,Seco,Otoño,1,71,32254.0,1441,5924,7365,4.282,5,26.0,182.0,2,1
2023-05-14,12,17.7,54.0,305.0,2.3,0.0,Seco,Otoño,2,233,114567.0,5415,22265,27680,9.292000000000002,5,17.0,282.0,1,1
2023-05-15,12,16.2,54.0,307.0,2.1,0.0,Seco,Otoño,2,340,190956.0,8382,34524,42905,10.206,5,6.0,364.0,1,1
2023-05-16,12,23.3,50.0,319.0,2.1,0.0,Seco,Otoño,2,172,100900.0,3013,18789,21802,10.847000000000001,5,24.0,250.0,1,1
2023-05-17,12,24.0,57.0,309.0,2.7,0.0,Seco,Otoño,2,251,134320.0,4740,22554,27293,10.559999999999999,5,0.0,364.0,1,1
2023-05-18,12,186.2,49.0,307.0,1.9,0.0,Seco,Otoño,2,119,58878.0,1298,12401,13699,9.811,5,17.0,282.0,1,1
2023-05-19,12,23.4,55.0,359.0,0.2,0.0,Seco,Otoño,1,78,35508.0,1847,7596,9442,5.394,5,3.0,182.0,1,1
2023-05-20,7,24.6,94.0,181.0,0.0,0.0,Seco,Otoño,1,241,124114.0,5315,24997,30312,5.008,5,3.0,182.0,1,1
2023-05-22,12,28.3,51.0,300.0,1.9,0.0,Seco,Otoño,1,207,97257.0,2318,18384,20702,4.803,5,3.0,182.0,1,1
2023-05-22,13,16.0,50.0,303.0,2.8,0.0,Seco,Otoño,1,70,22815.0,1542,6339,7881,5.008,5,26.0,182.0,1,1
2023-05-23,12,23.5,51.0,314.0,2.0,0.0,Seco,Otoño,2,302,162021.0,10831,25980,36810,8.011,5,20.0,282.0,1,1
2023-05-24,13,9.3,75.0,109.0,0.2,0.0,Seco,Otoño,1,145,69817.0,4762,11421,16183,5.168,5,17.0,42.0,1,1
2023-05-25,12,6.0,70.0,359.0,0.0,0.0,Seco,Otoño,1,85,31699.0,1895,7789,9684,4.282,5,17.0,42.0,1,1
2023-05-25,13,5.6,68.0,331.0,1.2,0.0,Seco,Otoño,1,111,49025.0,3578,8586,12165,5.394,5,17.0,42.0,1,1
2023-05-26,13,4.5,68.0,309.0,0.0,0.0,Seco,Otoño,1,82,33504.0,1690,6945,8636,4.803,5,17.0,42.0,1,1
2023-05-27,12,,69.0,111.0,0.7,0.0,Seco,Otoño,2,330,177309.0,9042,25169,34211,8.564,5,17.0,182.0,1,1
2023-05-28,12,13.6,77.0,319.0,0.8,0.0,Seco,Otoño,3,275,131817.0,6440,26484,32923,17.018,5,17.0,364.0,1,1
2023-05-29,12,10.1,72.0,118.0,0.2,0.0,Seco,Otoño,2,176,88589.0,4347,17869,22216,8.751,5,17.0,182.0,1,1
2023-05-30,12,10.8,70.0,343.0,0.4,0.0,Seco,Otoño,1,143,42164.0,2835,11587,14422,5.39,5,17.0,25.0,1,2
2023-05-30,13,10.4,63.0,284.0,1.1,0.0,Seco,Otoño,2,250,125432.0,7497,24441,31939,9.559000000000001,5,17.0,182.0,1,1
2023-05-31,12,16.9,69.0,1.0,0.9,0.0,Seco,Otoño,2,155,77927.0,4065,16718,20783,8.824,5,0.0,364.0,1,1
2023-06-01,12,38.5,37.0,98.0,3.6,0.0,Seco,Otoño,1,92,43411.0,2376,9761,12137,5.149,6,3.0,182.0,2,2
2023-06-01,13,30.2,24.0,98.0,3.8,0.0,Seco,Otoño,1,220,86183.0,5710,23473,29183,3.948,6,3.0,182.0,2,2
2023-06-03,13,49.7,53.0,330.0,1.2,0.0,Seco,Otoño,1,264,94121.0,8053,19302,27355,5.49,6,7.0,150.0,1,1
